	Tissue
GTEX-12126-0011-R9b-SM-5BC6P	Brain - Spinal cord (cervical c-1)
GTEX-15DCD-0011-R7b-SM-6LPID	Brain - Putamen (basal ganglia)
GTEX-WL46-0011-R5A-SM-3LK6V	Brain - Caudate (basal ganglia)
GTEX-1F88E-0011-R6a-SM-CKZNW	Brain - Nucleus accumbens (basal ganglia)
GTEX-N7MT-0011-R8a-SM-2I5GU	Brain - Hypothalamus
GTEX-WL46-2826-SM-3LK81	Brain - Cerebellum
GTEX-1C6VR-0011-R2a-SM-7RHGZ	Brain - Substantia nigra
GTEX-13VXU-0011-R4b-SM-5O9CI	Brain - Amygdala
GTEX-18A6Q-0011-R3a-SM-718A7	Brain - Anterior cingulate cortex (BA24)
GTEX-ZE9C-0011-R2a-SM-4WKGH	Brain - Substantia nigra
GTEX-14ASI-3026-SM-5S2PN	Brain - Cortex
GTEX-13OW8-0011-R2a-SM-5L3G2	Brain - Substantia nigra
GTEX-14BIN-0011-R11a-SM-5SI79	Brain - Cerebellar Hemisphere
GTEX-X261-0011-R10B-SM-4E3JT	Brain - Frontal Cortex (BA9)
GTEX-1H3VE-0011-R7b-SM-CE6S9	Brain - Putamen (basal ganglia)
GTEX-13X6J-0011-R3b-SM-5P9K5	Brain - Anterior cingulate cortex (BA24)
GTEX-1JJ6O-0011-R11b-SM-EXUS2	Brain - Cerebellar Hemisphere
GTEX-PWO3-0011-R5A-SM-2I5EZ	Brain - Caudate (basal ganglia)
GTEX-1LH75-0011-R6a-SM-EXURS	Brain - Nucleus accumbens (basal ganglia)
GTEX-1BAJH-0011-R8a-SM-7MXUB	Brain - Hypothalamus
GTEX-ZE7O-0011-R7a-SM-57WCU	Brain - Putamen (basal ganglia)
GTEX-1HBPH-3026-SM-9WPNY	Brain - Cerebellum
GTEX-1EMGI-0011-R4b-SM-CJI2D	Brain - Amygdala
GTEX-13OVH-0011-R5b-SM-5KM4L	Brain - Caudate (basal ganglia)
GTEX-1GZ4I-0011-R9b-SM-B2LY8	Brain - Spinal cord (cervical c-1)
GTEX-1HB9E-2926-SM-D4P3S	Brain - Cortex
GTEX-14BIL-0011-R9a-SM-5SI7A	Brain - Spinal cord (cervical c-1)
GTEX-1H2FU-3126-SM-9WYUJ	Brain - Cortex
GTEX-1JMLX-0011-R6b-SM-EXUT9	Brain - Nucleus accumbens (basal ganglia)
GTEX-1477Z-0011-R8b-SM-5S2RG	Brain - Hypothalamus
GTEX-X261-0011-R11A-SM-4E3JY	Brain - Cerebellar Hemisphere
GTEX-1HBPM-2926-SM-CL54E	Brain - Cortex
GTEX-1I1HK-0011-R1b-SM-CM2T7	Brain - Hippocampus
GTEX-11GSP-0011-R2b-SM-9QEGE	Brain - Substantia nigra
GTEX-1F7RK-1826-SM-7RHI4	Brain - Cortex
GTEX-1F52S-0011-R9a-SM-9WG62	Brain - Spinal cord (cervical c-1)
GTEX-12WSH-0011-R1a-SM-5GU5V	Brain - Hippocampus
GTEX-14PJM-0011-R9b-SM-6EU35	Brain - Spinal cord (cervical c-1)
GTEX-1HFI6-0011-R9b-SM-CMKH4	Brain - Spinal cord (cervical c-1)
GTEX-13O3Q-0011-R7a-SM-5KM38	Brain - Putamen (basal ganglia)
GTEX-WZTO-0011-R11A-SM-4E3K9	Brain - Cerebellar Hemisphere
GTEX-13O3O-0011-R7b-SM-5P9GZ	Brain - Putamen (basal ganglia)
GTEX-1HR9M-0011-R10a-SM-CM2SU	Brain - Frontal Cortex (BA9)
GTEX-16YQH-0011-R1a-SM-7LT8R	Brain - Hippocampus
GTEX-1LSVX-0011-R11b-SM-EXOIA	Brain - Cerebellar Hemisphere
GTEX-1H1DG-0011-R8a-SM-CL54Z	Brain - Hypothalamus
GTEX-1R46S-0011-R7b-SM-EXUTH	Brain - Putamen (basal ganglia)
GTEX-NL4W-0011-R2a-SM-2I5GV	Brain - Substantia nigra
GTEX-1HCU6-0011-R5a-SM-ARU76	Brain - Caudate (basal ganglia)
GTEX-1H1CY-0011-R10a-SM-CE6SD	Brain - Frontal Cortex (BA9)
GTEX-R55E-0011-R11A-SM-2TC6I	Brain - Cerebellar Hemisphere
GTEX-13NYS-0011-R8a-SM-5MR5H	Brain - Hypothalamus
GTEX-12WSA-0011-R5b-SM-5GU5I	Brain - Caudate (basal ganglia)
GTEX-1M4P7-0011-R11b-SM-EXOIK	Brain - Cerebellar Hemisphere
GTEX-1HSMO-0011-R2a-SM-CL553	Brain - Substantia nigra
GTEX-1HB9E-0011-R2b-SM-A96RW	Brain - Substantia nigra
GTEX-1E1VI-0011-R10b-SM-ARU8F	Brain - Frontal Cortex (BA9)
GTEX-1GN1U-0011-R1a-SM-CJI25	Brain - Hippocampus
GTEX-ZF28-0011-R6a-SM-4WKHI	Brain - Nucleus accumbens (basal ganglia)
GTEX-1F52S-0011-R3a-SM-CKZNI	Brain - Anterior cingulate cortex (BA24)
GTEX-ZYY3-3026-SM-5GIEJ	Brain - Cerebellum
GTEX-1H3NZ-0011-R6b-SM-A9G1N	Brain - Nucleus accumbens (basal ganglia)
GTEX-1H1ZS-2926-SM-9WPP2	Brain - Cerebellum
GTEX-1F6I4-0011-R1a-SM-9OSWU	Brain - Hippocampus
GTEX-13X6K-0011-R2b-SM-5P9K3	Brain - Substantia nigra
GTEX-1IY9M-0011-R9b-SM-D3L8J	Brain - Spinal cord (cervical c-1)
GTEX-1GZ4I-0011-R7b-SM-ARU71	Brain - Putamen (basal ganglia)
GTEX-WWYW-0011-R11A-SM-3NB38	Brain - Cerebellar Hemisphere
GTEX-11EI6-0011-R1a-SM-DO93L	Brain - Hippocampus
GTEX-1LKK1-3126-SM-EWRNY	Brain - Cortex
GTEX-1IKOH-0011-R7b-SM-CKZPH	Brain - Putamen (basal ganglia)
GTEX-1GPI6-0011-R5a-SM-CJI2W	Brain - Caudate (basal ganglia)
GTEX-1H23P-0011-R5a-SM-CKZOI	Brain - Caudate (basal ganglia)
GTEX-18465-0011-R5a-SM-72D5J	Brain - Caudate (basal ganglia)
GTEX-14PN4-0011-R10b-SM-69LP2	Brain - Frontal Cortex (BA9)
GTEX-15CHQ-0011-R9a-SM-6LLHX	Brain - Spinal cord (cervical c-1)
GTEX-1HSKV-0011-R5b-SM-ARZLN	Brain - Caudate (basal ganglia)
GTEX-X585-0011-R5A-SM-46MVI	Brain - Caudate (basal ganglia)
GTEX-1CB4J-0011-R6b-SM-9WG7B	Brain - Nucleus accumbens (basal ganglia)
GTEX-15DCD-0011-R8b-SM-7KUEF	Brain - Hypothalamus
GTEX-1HT8W-0011-R1b-SM-CJI3V	Brain - Hippocampus
GTEX-1B933-0011-R3b-SM-7P8PL	Brain - Anterior cingulate cortex (BA24)
GTEX-11ZTS-0011-R1a-SM-5BC71	Brain - Hippocampus
GTEX-1445S-0011-R4a-SM-5PNWN	Brain - Amygdala
GTEX-ZXG5-0011-R6a-SM-57WBZ	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSM-0011-R8a-SM-5DUWJ	Brain - Hypothalamus
GTEX-1EWIQ-3126-SM-7MXTI	Brain - Cortex
GTEX-12ZZX-0011-R10b-SM-5DUWK	Brain - Frontal Cortex (BA9)
GTEX-WL46-0011-R11A-SM-3MJFT	Brain - Cerebellar Hemisphere
GTEX-13O3O-0011-R10a-SM-5LUA9	Brain - Frontal Cortex (BA9)
GTEX-1HSKV-3026-SM-A96SL	Brain - Cortex
GTEX-14E6D-2926-SM-664OP	Brain - Cerebellum
GTEX-ZE9C-0011-R7a-SM-4WWCX	Brain - Putamen (basal ganglia)
GTEX-1H4P4-0011-R6a-SM-ARZLR	Brain - Nucleus accumbens (basal ganglia)
GTEX-13N2G-3126-SM-5IJGL	Brain - Cerebellum
GTEX-17MF6-0011-R1a-SM-72D6O	Brain - Hippocampus
GTEX-1I1CD-2926-SM-A96SJ	Brain - Cerebellum
GTEX-1F75B-0011-R2a-SM-ARL8I	Brain - Substantia nigra
GTEX-1H4P4-0011-R7b-SM-ARU77	Brain - Putamen (basal ganglia)
GTEX-1B8L1-0011-R8b-SM-7P8ST	Brain - Hypothalamus
GTEX-1C6VQ-3026-SM-7IGPU	Brain - Cortex
GTEX-13OVH-0011-R4a-SM-5KM3W	Brain - Amygdala
GTEX-17HHY-0011-R6b-SM-7189Z	Brain - Nucleus accumbens (basal ganglia)
GTEX-1C6VQ-0011-R1a-SM-7P8Q2	Brain - Hippocampus
GTEX-1B8L1-0011-R11b-SM-793DJ	Brain - Cerebellar Hemisphere
GTEX-UTHO-0011-R3A-SM-3GIK8	Brain - Anterior cingulate cortex (BA24)
GTEX-T2IS-0011-R6A-SM-32QP2	Brain - Nucleus accumbens (basal ganglia)
GTEX-1H1DG-0011-R1b-SM-CKZP1	Brain - Hippocampus
GTEX-13RTJ-0011-R2a-SM-5PNW9	Brain - Substantia nigra
GTEX-1H1CY-0011-R6b-SM-CE6RP	Brain - Nucleus accumbens (basal ganglia)
GTEX-XMD1-0011-R2B-SM-4AT5N	Brain - Substantia nigra
GTEX-1MA7X-0011-R6a-SM-EYYWR	Brain - Nucleus accumbens (basal ganglia)
GTEX-XLM4-0011-R6A-SM-4AT4B	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B8SG-1726-SM-73KXK	Brain - Cortex
GTEX-15EO6-3026-SM-7KUMA	Brain - Cortex
GTEX-1HGF4-0011-R11a-SM-C1YRR	Brain - Cerebellar Hemisphere
GTEX-1IOXB-3126-SM-CKZO1	Brain - Cortex
GTEX-13QJC-0011-R8b-SM-5S2U6	Brain - Hypothalamus
GTEX-13CF2-3026-SM-5IFFX	Brain - Cerebellum
GTEX-1MA7X-0011-R2b-SM-EZ6MT	Brain - Substantia nigra
GTEX-16NPV-0011-R1b-SM-7MGVZ	Brain - Hippocampus
GTEX-14BIL-3026-SM-7EWD4	Brain - Cortex
GTEX-131XH-0011-R6a-SM-5KM2G	Brain - Nucleus accumbens (basal ganglia)
GTEX-1C6VR-3026-SM-7IGLW	Brain - Cerebellum
GTEX-QVUS-2826-SM-3GADB	Brain - Cortex
GTEX-1B8L1-0011-R1a-SM-7P8SS	Brain - Hippocampus
GTEX-16XZZ-0011-R11a-SM-7EPI3	Brain - Cerebellar Hemisphere
GTEX-YJ89-0011-R7a-SM-4V6GO	Brain - Putamen (basal ganglia)
GTEX-13PVQ-0011-R4a-SM-5O9CT	Brain - Amygdala
GTEX-13SLX-3126-SM-5S2Q5	Brain - Cortex
GTEX-1EMGI-3126-SM-7MXUR	Brain - Cerebellum
GTEX-1IKOH-0011-R2a-SM-CMKHO	Brain - Substantia nigra
GTEX-1F6I4-0011-R6a-SM-CE6R4	Brain - Nucleus accumbens (basal ganglia)
GTEX-131XH-2926-SM-5LZU4	Brain - Cerebellum
GTEX-13S7M-0011-R11b-SM-5P9HU	Brain - Cerebellar Hemisphere
GTEX-ZE7O-0011-R1a-SM-57WDM	Brain - Hippocampus
GTEX-WHSE-0011-R7A-SM-3P5YZ	Brain - Putamen (basal ganglia)
GTEX-13FTY-0011-R9b-SM-5KM2U	Brain - Spinal cord (cervical c-1)
GTEX-16XZZ-0011-R3a-SM-7IGLH	Brain - Anterior cingulate cortex (BA24)
GTEX-13G51-3026-SM-5IJB8	Brain - Cortex
GTEX-1HSMO-3026-SM-A9G3F	Brain - Cortex
GTEX-13X6J-2926-SM-7EPGP	Brain - Cerebellum
GTEX-14BIM-3126-SM-5Q5C7	Brain - Cerebellum
GTEX-N7MT-0011-R11A-SM-2I3DZ	Brain - Cerebellar Hemisphere
GTEX-131XH-0011-R8a-SM-5EGLL	Brain - Hypothalamus
GTEX-13OW6-0011-R4a-SM-5O9DX	Brain - Amygdala
GTEX-ZE9C-0011-R9a-SM-4WWCY	Brain - Spinal cord (cervical c-1)
GTEX-1HFI6-3026-SM-CNPPJ	Brain - Cortex
GTEX-15ER7-3126-SM-7KUGH	Brain - Cortex
GTEX-1HGF4-0011-R7a-SM-A96S2	Brain - Putamen (basal ganglia)
GTEX-1HSMO-0011-R1a-SM-CM2SV	Brain - Hippocampus
GTEX-1CAMQ-0011-R9a-SM-9WG5Z	Brain - Spinal cord (cervical c-1)
GTEX-1JMQL-2826-SM-ARU91	Brain - Cortex
GTEX-15ER7-0011-R6a-SM-6M46M	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EMGI-0011-R10a-SM-9OSWY	Brain - Frontal Cortex (BA9)
GTEX-144GL-0011-R11b-SM-5P9F6	Brain - Cerebellar Hemisphere
GTEX-1192X-0011-R9b-SM-DO934	Brain - Spinal cord (cervical c-1)
GTEX-NPJ7-0011-R7a-SM-EV79B	Brain - Putamen (basal ganglia)
GTEX-13S7M-0011-R10b-SM-5PNZB	Brain - Frontal Cortex (BA9)
GTEX-1PIIG-2826-SM-DTX7O	Brain - Cerebellum
GTEX-1LVA9-0011-R2a-SM-EZ6MJ	Brain - Substantia nigra
GTEX-1IKK5-0011-R10b-SM-CE6SP	Brain - Frontal Cortex (BA9)
GTEX-T6MN-2626-SM-32PMQ	Brain - Cortex
GTEX-15G19-0011-R8b-SM-7KUL1	Brain - Hypothalamus
GTEX-13CZV-0011-R11b-SM-5N9FN	Brain - Cerebellar Hemisphere
GTEX-144GO-0011-R5a-SM-5PNUR	Brain - Caudate (basal ganglia)
GTEX-1I19N-3026-SM-CL55E	Brain - Cortex
GTEX-145LS-0011-R7a-SM-5PNWM	Brain - Putamen (basal ganglia)
GTEX-13G51-0011-R1a-SM-5LZYR	Brain - Hippocampus
GTEX-12WSA-0011-R2a-SM-57WDK	Brain - Substantia nigra
GTEX-1BAJH-0011-R1a-SM-7P8SV	Brain - Hippocampus
GTEX-14BIL-0011-R10a-SM-5SI75	Brain - Frontal Cortex (BA9)
GTEX-1LC47-0011-R10b-SM-EYYWE	Brain - Frontal Cortex (BA9)
GTEX-15DCD-0011-R5a-SM-CXZKZ	Brain - Caudate (basal ganglia)
GTEX-17HII-0011-R11b-SM-7KFSX	Brain - Cerebellar Hemisphere
GTEX-13NZA-0011-R8b-SM-5KM2Q	Brain - Hypothalamus
GTEX-1IGQW-0011-R5b-SM-CJI44	Brain - Caudate (basal ganglia)
GTEX-13FLW-0011-R8b-SM-5J1MZ	Brain - Hypothalamus
GTEX-1399T-0011-R2b-SM-5DUXM	Brain - Substantia nigra
GTEX-11ONC-0011-R4b-SM-DO93H	Brain - Amygdala
GTEX-1HGF4-0011-R3b-SM-CL54W	Brain - Anterior cingulate cortex (BA24)
GTEX-1B8L1-0011-R6b-SM-7P8SU	Brain - Nucleus accumbens (basal ganglia)
GTEX-X4EP-0011-R4B-SM-3P627	Brain - Amygdala
GTEX-1ICLZ-0011-R6b-SM-A9G3A	Brain - Nucleus accumbens (basal ganglia)
GTEX-YJ89-0011-R11a-SM-4SOKA	Brain - Cerebellar Hemisphere
GTEX-1LSNL-0011-R7a-SM-EYYWI	Brain - Putamen (basal ganglia)
GTEX-T5JC-0011-R8A-SM-32PLM	Brain - Hypothalamus
GTEX-S7SE-0011-R8A-SM-2XCDG	Brain - Hypothalamus
GTEX-1F48J-0011-R1a-SM-9QEIC	Brain - Hippocampus
GTEX-1B933-0011-R5b-SM-7P8SA	Brain - Caudate (basal ganglia)
GTEX-11O72-2826-SM-5HL6W	Brain - Cerebellum
GTEX-1GTWX-0011-R4a-SM-C1YQI	Brain - Amygdala
GTEX-1AX9I-0011-R11b-SM-7DHN4	Brain - Cerebellar Hemisphere
GTEX-13OW8-0011-R4a-SM-9WG6V	Brain - Amygdala
GTEX-15ER7-3026-SM-6M47W	Brain - Cerebellum
GTEX-T6MN-0011-R11A-SM-32QOX	Brain - Cerebellar Hemisphere
GTEX-183WM-0011-R5a-SM-718A4	Brain - Caudate (basal ganglia)
GTEX-17JCI-0011-R11a-SM-7189Y	Brain - Cerebellar Hemisphere
GTEX-13G51-0011-R2b-SM-5LZXS	Brain - Substantia nigra
GTEX-13JVG-0011-R6a-SM-5MR3E	Brain - Nucleus accumbens (basal ganglia)
GTEX-1J1OQ-3126-SM-D4P2O	Brain - Cerebellum
GTEX-TSE9-3026-SM-3DB76	Brain - Cortex
GTEX-13CF2-0011-R11b-SM-5LZXO	Brain - Cerebellar Hemisphere
GTEX-13FXS-3126-SM-5J2NN	Brain - Cortex
GTEX-S7SE-0011-R5A-SM-2XCDA	Brain - Caudate (basal ganglia)
GTEX-14ASI-0011-R1b-SM-5S2TY	Brain - Hippocampus
GTEX-1H3O1-0011-R11a-SM-A96RV	Brain - Cerebellar Hemisphere
GTEX-1GZ4I-0011-R10a-SM-9OSX3	Brain - Frontal Cortex (BA9)
GTEX-145MH-0011-R5a-SM-5P9JT	Brain - Caudate (basal ganglia)
GTEX-17HG3-0011-R5a-SM-7DUEW	Brain - Caudate (basal ganglia)
GTEX-1R46S-0011-R9a-SM-EZ6N7	Brain - Spinal cord (cervical c-1)
GTEX-RNOR-2226-SM-2TF5O	Brain - Cerebellum
GTEX-14BIN-0011-R5b-SM-5SI78	Brain - Caudate (basal ganglia)
GTEX-13FXS-0011-R1a-SM-5K7U6	Brain - Hippocampus
GTEX-15G19-0011-R5b-SM-6M46P	Brain - Caudate (basal ganglia)
GTEX-1EU9M-2926-SM-793DF	Brain - Cerebellum
GTEX-WVLH-2926-SM-3MJG5	Brain - Cerebellum
GTEX-XMD1-0011-R9A-SM-4AT49	Brain - Spinal cord (cervical c-1)
GTEX-1F48J-0011-R5b-SM-9OSVZ	Brain - Caudate (basal ganglia)
GTEX-183WM-0011-R4a-SM-7LG6S	Brain - Amygdala
GTEX-13RTJ-0011-R5a-SM-5P9HR	Brain - Caudate (basal ganglia)
GTEX-1GN1U-0011-R2a-SM-CL53A	Brain - Substantia nigra
GTEX-1N5O9-2926-SM-EXUSN	Brain - Cortex
GTEX-147F4-0011-R8b-SM-5S2UN	Brain - Hypothalamus
GTEX-15DCD-2926-SM-7KULT	Brain - Cortex
GTEX-QDT8-0011-R8A-SM-32PKE	Brain - Hypothalamus
GTEX-13OW8-0011-R5b-SM-5L3FQ	Brain - Caudate (basal ganglia)
GTEX-18464-0011-R8a-SM-72D4Z	Brain - Hypothalamus
GTEX-15DYW-0011-R11a-SM-6LPIT	Brain - Cerebellar Hemisphere
GTEX-1313W-0011-R5b-SM-5L3EP	Brain - Caudate (basal ganglia)
GTEX-13VXU-0011-R9b-SM-5SI73	Brain - Spinal cord (cervical c-1)
GTEX-1ICLZ-0011-R11a-SM-CJI3N	Brain - Cerebellar Hemisphere
GTEX-1LH75-0011-R2b-SM-EYYWQ	Brain - Substantia nigra
GTEX-X585-0011-R11B-SM-46MUZ	Brain - Cerebellar Hemisphere
GTEX-NPJ8-0011-R9a-SM-2YUN5	Brain - Spinal cord (cervical c-1)
GTEX-QMR6-0011-R4A-SM-32PKU	Brain - Amygdala
GTEX-12ZZY-0011-R5a-SM-5EGL9	Brain - Caudate (basal ganglia)
GTEX-WHSE-0011-R10A-SM-EYYVG	Brain - Frontal Cortex (BA9)
GTEX-139UW-0011-R11a-SM-5IJGN	Brain - Cerebellar Hemisphere
GTEX-1EKGG-3126-SM-9WPO5	Brain - Cerebellum
GTEX-1J1OQ-0011-R5a-SM-D3L8K	Brain - Caudate (basal ganglia)
GTEX-1H3NZ-0011-R7a-SM-A9SKD	Brain - Putamen (basal ganglia)
GTEX-WZTO-0011-R8A-SM-4E3II	Brain - Hypothalamus
GTEX-1GN73-3126-SM-9KNTY	Brain - Cortex
GTEX-1GTWX-0011-R5b-SM-CKZO6	Brain - Caudate (basal ganglia)
GTEX-YFC4-0011-R3a-SM-4RGLP	Brain - Anterior cingulate cortex (BA24)
GTEX-1IDJH-0011-R5a-SM-CE6SR	Brain - Caudate (basal ganglia)
GTEX-1LVAO-0011-R2a-SM-EYYX1	Brain - Substantia nigra
GTEX-14LZ3-0011-R1a-SM-69LP5	Brain - Hippocampus
GTEX-1B8L1-0011-R2a-SM-9OSVL	Brain - Substantia nigra
GTEX-13112-0011-R7b-SM-5DUVW	Brain - Putamen (basal ganglia)
GTEX-1F75A-0011-R1b-SM-CE6RA	Brain - Hippocampus
GTEX-1GZHY-0011-R1a-SM-CE6RR	Brain - Hippocampus
GTEX-Z93S-0011-R8a-SM-4RGNL	Brain - Hypothalamus
GTEX-1F48J-0011-R4b-SM-9OSVX	Brain - Amygdala
GTEX-ZVZQ-0011-R5b-SM-57WDC	Brain - Caudate (basal ganglia)
GTEX-14A5I-2926-SM-5Q5CQ	Brain - Cortex
GTEX-1J1OQ-0011-R1a-SM-A9G1Z	Brain - Hippocampus
GTEX-14JG1-2926-SM-686ZK	Brain - Cerebellum
GTEX-139TS-0011-R7a-SM-5K7X7	Brain - Putamen (basal ganglia)
GTEX-1HSMO-0011-R9b-SM-CM2T2	Brain - Spinal cord (cervical c-1)
GTEX-1HB9E-0011-R5b-SM-ARU78	Brain - Caudate (basal ganglia)
GTEX-13N2G-0011-R3b-SM-5MR5G	Brain - Anterior cingulate cortex (BA24)
GTEX-XLM4-3026-SM-4AT6L	Brain - Cortex
GTEX-QVJO-1325-SM-2S1QX	Brain - Cerebellum
GTEX-1HCVE-2926-SM-9WPPJ	Brain - Cerebellum
GTEX-14C5O-0011-R1b-SM-6AJBW	Brain - Hippocampus
GTEX-1HGF4-0011-R8b-SM-CKZP9	Brain - Hypothalamus
GTEX-17EVP-3026-SM-7IGQL	Brain - Cortex
GTEX-145LU-0011-R1a-SM-5Q5CE	Brain - Hippocampus
GTEX-13FLV-0011-R4a-SM-5LZYU	Brain - Amygdala
GTEX-1IOXB-0011-R1a-SM-D4P27	Brain - Hippocampus
GTEX-1I1CD-0011-R9a-SM-CMKHB	Brain - Spinal cord (cervical c-1)
GTEX-132Q8-0011-R6a-SM-5K7YN	Brain - Nucleus accumbens (basal ganglia)
